Iteration	Replicate_ID	Posterior	Likelihood	Prior	rate[1]	rate[2]
0	0	-41.17566	-43.27424	2.098577	0.0233279	0.208211
1	1	-43.39058	-44.38602	0.995445	0.0326799	0.281995
2	0	-40.63404	-42.77762	2.143573	0.031758	0.196389
3	1	-40.30397	-42.23105	1.927081	0.0980785	0.146384
4	0	-40.20873	-41.93799	1.72926	0.0705138	0.188858
5	1	-40.29992	-42.355	2.055078	0.0937252	0.141092
6	0	-40.29421	-41.75591	1.461704	0.0952395	0.184296
7	1	-40.24691	-41.86051	1.6136	0.0986884	0.1694
8	0	-39.99447	-42.05777	2.0633	0.0696443	0.164553
9	1	-40.08851	-42.66743	2.578925	0.0320275	0.16331
10	0	-40.71732	-42.04475	1.327434	0.0715536	0.218101
11	1	-40.82202	-42.38854	1.566512	0.130844	0.140793
12	0	-40.34066	-43.4767	3.136049	0.0399743	0.113377
13	1	-41.10961	-41.52104	0.4114243	0.151452	0.207237
14	0	-40.34484	-43.24374	2.898899	0.0179672	0.153256
15	1	-41.5971	-41.49106	-0.1060393	0.161403	0.236283
16	0	-41.08877	-43.39063	2.301868	0.0186053	0.197612
17	1	-42.65538	-42.17968	-0.4757087	0.264967	0.160579
18	0	-40.1136	-43.03295	2.919352	0.0453083	0.124374
19	1	-42.91264	-41.50453	-1.408108	0.230032	0.265783
20	0	-42.55441	-41.47165	-1.082768	0.218422	0.252874
21	1	-41.19242	-41.74935	0.556931	0.16988	0.177843
22	0	-46.03851	-43.07748	-2.961025	0.395797	0.217051
23	1	-40.28089	-43.26106	2.980179	0.0187116	0.146386
24	0	-40.10019	-41.97097	1.870789	0.0688222	0.179883
25	1	-40.45735	-43.59936	3.142013	0.014189	0.138712
26	0	-40.24239	-42.36334	2.120944	0.0440905	0.185762
27	1	-40.14495	-42.14264	1.997694	0.0875238	0.151618
28	0	-40.12386	-42.08166	1.957795	0.0594472	0.182701
29	1	-40.36082	-41.78278	1.421962	0.107605	0.174926
30	0	-43.4124	-42.37117	-1.041229	0.300966	0.1672
31	1	-40.79161	-42.06178	1.270163	0.138298	0.155673
32	0	-42.52033	-41.66537	-0.8549609	0.248168	0.20596
33	1	-40.89264	-41.86488	0.9722306	0.090003	0.226421
34	0	-42.2829	-42.12785	-0.1550589	0.119179	0.282202
35	1	-41.84322	-42.32203	0.4788117	0.212083	0.141526
36	0	-42.21108	-43.27155	1.060469	0.21708	0.0926937
37	1	-40.46771	-41.67326	1.205551	0.104799	0.194042
38	0	-42.00662	-41.80095	-0.2056736	0.13663	0.268566
39	1	-41.8567	-41.84789	-0.008814468	0.216129	0.17423
40	0	-40.20553	-41.85538	1.649857	0.0940581	0.171298
41	1	-39.9875	-42.47044	2.482943	0.0403954	0.162176
42	0	-40.61393	-44.06166	3.447733	0.0210457	0.108815
43	1	-42.91142	-42.1635	-0.7479168	0.142353	0.303707
44	0	-40.38253	-42.00896	1.626431	0.109442	0.157679
45	1	-41.13346	-42.90103	1.767573	0.0363562	0.220128
46	0	-43.74443	-42.05412	-1.690308	0.190383	0.326699
47	1	-40.33468	-43.19049	2.855807	0.0576565	0.116814
48	0	-40.74198	-41.73713	0.995146	0.0975439	0.217153
49	1	-40.17979	-42.90923	2.729442	0.0250323	0.158962
50	0	-40.86698	-42.61647	1.749492	0.0430388	0.214808
51	1	-41.57558	-43.95095	2.375369	0.0114275	0.199251
52	0	-40.97132	-42.88057	1.90925	0.033774	0.212033
53	1	-39.9398	-42.67182	2.732024	0.0399518	0.143848
54	0	-40.32616	-41.81471	1.488541	0.105283	0.17223
