Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]
0	-41.17566	-43.27424	2.098577	0.0233279	0.208211
10	-40.63404	-42.77762	2.143573	0.031758	0.196389
20	-40.20873	-41.93799	1.72926	0.0705138	0.188858
30	-40.29421	-41.75591	1.461704	0.0952395	0.184296
40	-39.99447	-42.05777	2.0633	0.0696443	0.164553
50	-40.71732	-42.04475	1.327434	0.0715536	0.218101
60	-40.34066	-43.4767	3.136049	0.0399743	0.113377
70	-40.34484	-43.24374	2.898899	0.0179672	0.153256
80	-41.08877	-43.39063	2.301868	0.0186053	0.197612
90	-40.1136	-43.03295	2.919352	0.0453083	0.124374
100	-42.55441	-41.47165	-1.082768	0.218422	0.252874
110	-46.03851	-43.07748	-2.961025	0.395797	0.217051
120	-40.10019	-41.97097	1.870789	0.0688222	0.179883
130	-40.24239	-42.36334	2.120944	0.0440905	0.185762
140	-40.12386	-42.08166	1.957795	0.0594472	0.182701
150	-43.4124	-42.37117	-1.041229	0.300966	0.1672
160	-42.52033	-41.66537	-0.8549609	0.248168	0.20596
170	-42.2829	-42.12785	-0.1550589	0.119179	0.282202
180	-42.21108	-43.27155	1.060469	0.21708	0.0926937
190	-42.00662	-41.80095	-0.2056736	0.13663	0.268566
200	-40.20553	-41.85538	1.649857	0.0940581	0.171298
210	-40.61393	-44.06166	3.447733	0.0210457	0.108815
220	-40.38253	-42.00896	1.626431	0.109442	0.157679
230	-43.74443	-42.05412	-1.690308	0.190383	0.326699
240	-40.74198	-41.73713	0.995146	0.0975439	0.217153
250	-40.86698	-42.61647	1.749492	0.0430388	0.214808
260	-40.97132	-42.88057	1.90925	0.033774	0.212033
270	-40.32616	-41.81471	1.488541	0.105283	0.17223
280	-40.46109	-42.22326	1.76217	0.110121	0.146771
290	-40.14555	-42.19914	2.053582	0.0861761	0.148753
300	-40.56048	-42.15582	1.595344	0.119309	0.150155
310	-39.96664	-42.15591	2.189271	0.0675963	0.157107
320	-40.8319	-41.62044	0.7885397	0.140445	0.189822
330	-41.83382	-41.64936	-0.1844579	0.210618	0.192978
340	-41.25293	-41.51359	0.2606631	0.144874	0.225177
350	-42.76742	-41.72217	-1.045247	0.261654	0.206815
360	-39.97346	-42.31569	2.342237	0.0476383	0.165537
370	-40.88833	-41.99283	1.104504	0.0799175	0.226538
380	-40.22387	-42.41141	2.187536	0.0416881	0.183146
390	-40.32738	-43.59045	3.26307	0.0269825	0.116796
400	-40.12831	-42.08242	1.954106	0.0593807	0.183046
410	-40.82484	-44.32145	3.496608	0.0116458	0.114532
420	-41.20271	-44.30545	3.102736	0.0615066	0.0943548
430	-42.4786	-42.07727	-0.4013226	0.255056	0.164884
440	-40.58116	-42.0786	1.497443	0.122754	0.154089
450	-40.24695	-43.43855	3.1916	0.0297564	0.119408
460	-40.00838	-42.88361	2.875231	0.0408015	0.132206
470	-40.29674	-41.77914	1.4824	0.100566	0.177409
480	-40.04359	-42.72057	2.676983	0.0560856	0.131862
490	-40.77531	-41.62724	0.8519305	0.11198	0.21351
500	-42.01789	-43.65694	1.639051	0.171422	0.0947481
510	-44.00395	-41.90849	-2.095465	0.219946	0.327671
