Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	er[7]	er_full[1]	er_full[2]	er_full[3]	er_full[4]	er_full[5]	er_full[6]	er_full[7]	er_full[8]	er_full[9]	er_full[10]	er_full[11]	er_full[12]	er_full[13]	er_full[14]	er_full[15]	er_full[16]	er_full[17]	er_full[18]	er_full[19]	er_full[20]	er_full[21]	er_full[22]	er_full[23]	er_full[24]	er_full[25]	er_full[26]	er_full[27]	er_full[28]	pi[1]	pi[2]	pi[3]	pi[4]	pi[5]	pi[6]	pi[7]	pi[8]	rf[1]	rf[2]	rf[3]	rf[4]	rf[5]	rf[6]	rf[7]	rf[8]
0	-93.58555	-117.2151	23.62957	0.0994481	0.0910839	0.594642	0.0033296	0.0606159	0.127963	0.0229174	0.0994481	0	0	0	0	0	0	0.0910839	0	0	0	0	0	0.594642	0	0	0	0	0.0033296	0	0	0	0.0606159	0	0	0.127963	0	0.0229174	0.0192683	0.0792157	0.332574	0.0107596	0.089004	0.0586381	0.195329	0.215211	0.0604169	0.100032	0.222823	0.0493803	0.225004	0.23578	0.021812	0.084752
10	-55.73747	-79.36705	23.62957	0.142221	0.431929	0.0235503	0.0086527	0.20504	0.183	0.00560644	0.142221	0	0	0	0	0	0	0.431929	0	0	0	0	0	0.0235503	0	0	0	0	0.0086527	0	0	0	0.20504	0	0	0.183	0	0.00560644	0.355787	0.0246889	0.0903506	0.00399749	0.0500358	0.0235309	0.0725704	0.379039	0.0557284	0.123247	0.0992782	0.0686899	0.288573	0.0964113	0.225688	0.0423843
20	-55.45405	-79.08363	23.62957	0.226596	0.476629	0.0326009	0.02665	0.111555	0.0455666	0.0804028	0.226596	0	0	0	0	0	0	0.476629	0	0	0	0	0	0.0326009	0	0	0	0	0.02665	0	0	0	0.111555	0	0	0.0455666	0	0.0804028	0.348577	0.0132777	0.126501	0.0299041	0.0356225	0.0327386	0.0340592	0.379321	0.34708	0.0754067	0.118324	0.0629699	0.0471377	0.0883829	0.225729	0.0349692
30	-55.28877	-78.91834	23.62957	0.175495	0.266231	0.0519279	0.0547929	0.101872	0.0980521	0.251628	0.175495	0	0	0	0	0	0	0.266231	0	0	0	0	0	0.0519279	0	0	0	0	0.0547929	0	0	0	0.101872	0	0	0.0980521	0	0.251628	0.217768	0.0294432	0.0790292	0.016011	0.00612816	0.0714042	0.0096615	0.570555	0.270441	0.0919992	0.159712	0.0768259	0.05751	0.0243765	0.139348	0.179786
40	-52.63065	-76.26022	23.62957	0.127883	0.275588	0.318457	0.169264	0.0435186	0.0415869	0.0237026	0.127883	0	0	0	0	0	0	0.275588	0	0	0	0	0	0.318457	0	0	0	0	0.169264	0	0	0	0.0435186	0	0	0.0415869	0	0.0237026	0.20469	0.0145216	0.0819645	0.0178836	0.00635577	0.0779253	0.0049128	0.591747	0.188613	0.099677	0.0810401	0.313776	0.0455997	0.0719762	0.0775385	0.121779
50	-49.43321	-73.06279	23.62957	0.105758	0.0762004	0.0389527	0.343849	0.294676	0.0378863	0.102677	0.105758	0	0	0	0	0	0	0.0762004	0	0	0	0	0	0.0389527	0	0	0	0	0.343849	0	0	0	0.294676	0	0	0.0378863	0	0.102677	0.317245	0.0236686	0.0844681	0.0896327	0.00588901	0.0919263	0.00439589	0.382775	0.09052	0.0490059	0.222429	0.186725	0.127248	0.00637239	0.123671	0.194028
60	-49.08346	-72.71304	23.62957	0.0416735	0.0613019	0.0262653	0.464638	0.216635	0.164941	0.0245452	0.0416735	0	0	0	0	0	0	0.0613019	0	0	0	0	0	0.0262653	0	0	0	0	0.464638	0	0	0	0.216635	0	0	0.164941	0	0.0245452	0.253404	0.0248813	0.116628	0.123759	0.00194307	0.197383	0.00694819	0.275053	0.0700032	0.110223	0.0977991	0.0177558	0.370875	0.00280185	0.0653889	0.265154
70	-49.19464	-72.82422	23.62957	0.149332	0.322265	0.106399	0.201416	0.115674	0.0801364	0.0247778	0.149332	0	0	0	0	0	0	0.322265	0	0	0	0	0	0.106399	0	0	0	0	0.201416	0	0	0	0.115674	0	0	0.0801364	0	0.0247778	0.287062	0.0281861	0.144341	0.136643	0.0122413	0.223601	0.0238002	0.144126	0.190565	0.21963	0.0316582	0.0512655	0.0554285	0.01994	0.316879	0.114633
80	-47.89415	-71.52372	23.62957	0.251158	0.256573	0.126046	0.215558	0.0920941	0.0276833	0.0308877	0.251158	0	0	0	0	0	0	0.256573	0	0	0	0	0	0.126046	0	0	0	0	0.215558	0	0	0	0.0920941	0	0	0.0276833	0	0.0308877	0.263375	0.0269334	0.0933873	0.138924	0.0154419	0.223325	0.0237709	0.214842	0.172674	0.338214	0.129646	0.0497758	0.0222488	0.144568	0.0315724	0.111302
90	-49.20841	-72.83799	23.62957	0.212914	0.507529	0.07912	0.091374	0.0573441	0.0385578	0.013161	0.212914	0	0	0	0	0	0	0.507529	0	0	0	0	0	0.07912	0	0	0	0	0.091374	0	0	0	0.0573441	0	0	0.0385578	0	0.013161	0.247415	0.0301146	0.0510789	0.127965	0.00815094	0.308573	0.0225844	0.204118	0.133086	0.298519	0.268496	0.0587522	0.0315437	0.120804	0.049561	0.0392382
