Iteration	Posterior	Likelihood	Prior	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rf[1]	rf[2]	rf[3]
0	-65.60165	-76.38381	10.78215	0.220036	0.0341126	0.0396315	0.0194958	0.0328023	0.0629878	0.289387	0.57804	0.132573
10	-66.35076	-70.2178	3.867048	0.127736	0.0637176	0.167147	0.290124	0.133562	0.143859	0.392958	0.504593	0.102449
20	-63.68792	-70.89131	7.203394	0.173862	0.0620258	0.106414	0.133002	0.0852365	0.116128	0.325271	0.478643	0.196086
30	-64.82076	-70.51059	5.68983	0.278295	0.0214731	0.221171	0.115318	0.0845739	0.0690151	0.493719	0.301779	0.204503
40	-62.48959	-69.8317	7.342111	0.179614	0.00588935	0.207992	0.088193	0.0915038	0.0931037	0.0881434	0.516978	0.394879
50	-61.68013	-71.4837	9.803575	0.0385715	0.0122251	0.171104	0.077711	0.0627659	0.119862	0.318168	0.184	0.497832
60	-62.78835	-71.33857	8.55022	0.0357318	0.0461333	0.263186	0.040284	0.082916	0.107708	0.276403	0.456823	0.266773
70	-67.94666	-71.36692	3.420259	0.16065	0.0785458	0.557215	0.0277393	0.0592813	0.0761224	0.353629	0.450238	0.196133
80	-63.29268	-71.20417	7.911489	0.236461	0.106153	0.0328789	0.05426	0.0836361	0.110331	0.0219923	0.07241	0.905598
90	-67.78898	-76.6206	8.83162	0.0669057	0.105863	0.0160938	0.231997	0.0910232	0.0430343	0.229973	0.262251	0.507775
100	-62.89434	-72.72425	9.829916	0.146865	0.0642222	0.0655388	0.0688088	0.0903833	0.0444512	0.231286	0.257852	0.510862
110	-66.64946	-73.11207	6.46261	0.143804	0.233489	0.0724673	0.0986294	0.148162	0.0355096	0.626844	0.0340849	0.339071
120	-67.51193	-71.90829	4.396366	0.37101	0.0655713	0.026308	0.185789	0.231351	0.00653521	0.152697	0.7124	0.134903
130	-72.32768	-76.33919	4.011512	0.15436	0.324021	0.0226856	0.0241983	0.37464	0.015437	0.262853	0.201506	0.535641
140	-66.33335	-73.70203	7.368675	0.188295	0.104322	0.0392098	0.178024	0.140078	0.0143799	0.159249	0.102589	0.738162
150	-64.27568	-70.87613	6.600441	0.268506	0.0211772	0.0120276	0.285125	0.104472	0.0304461	0.0338817	0.495137	0.470981
160	-62.32214	-70.54752	8.22538	0.179214	0.022818	0.0083774	0.203826	0.133299	0.0527148	0.205894	0.11273	0.681375
170	-65.926	-70.19411	4.268109	0.243656	0.0240418	0.0156724	0.438856	0.0807623	0.0931668	0.392474	0.449791	0.157735
180	-64.33299	-73.64375	9.31076	0.0995438	0.163956	0.0212265	0.0405985	0.0863316	0.107433	0.157364	0.210277	0.632359
190	-62.30081	-73.06617	10.76536	0.218996	0.0316442	0.0411009	0.019325	0.0623726	0.0368832	0.159419	0.232733	0.607848
200	-65.00993	-71.01686	6.00693	0.279496	0.0183975	0.141941	0.073176	0.176363	0.0767609	0.194826	0.528545	0.276629
210	-64.03207	-70.39659	6.364524	0.16511	0.00874494	0.0630682	0.265015	0.1371	0.100357	0.517688	0.353025	0.129286
220	-62.80218	-69.0519	6.249715	0.183001	0.0468484	0.30868	0.0384021	0.0658547	0.105193	0.127445	0.135969	0.736586
230	-62.77624	-70.43447	7.658228	0.0394547	0.13995	0.230497	0.0151717	0.0612157	0.15637	0.0765484	0.0390656	0.884386
240	-64.10664	-72.00249	7.895845	0.00339463	0.207206	0.187188	0.00127017	0.106577	0.119255	0.120836	0.055864	0.8233
250	-63.37211	-70.87598	7.503862	0.00201099	0.14745	0.306351	0.0130144	0.0672776	0.118098	0.139589	0.115498	0.744912
260	-62.61077	-71.60516	8.994385	0.002247	0.0162402	0.332252	0.0279435	0.0445249	0.119539	0.0858559	0.336423	0.577722
270	-68.62933	-71.68835	3.059014	0.263178	0.0165544	0.407688	0.0596376	0.124311	0.115197	0.0774395	0.903064	0.019497
280	-61.95959	-72.63308	10.67349	0.0641585	0.0269519	0.096911	0.0647372	0.0791208	0.0853119	0.50997	0.0712052	0.418825
290	-63.62068	-71.16409	7.543416	0.0401229	0.178692	0.237726	0.0049698	0.0624612	0.127272	0.418884	0.446037	0.135078
300	-63.37161	-72.08112	8.709508	0.0629858	0.128499	0.226229	0.000673634	0.0301115	0.11555	0.426489	0.19144	0.382071
310	-62.15548	-72.44784	10.29236	0.0745752	0.0130211	0.169608	0.00689907	0.0268146	0.154772	0.119187	0.115355	0.765458
320	-65.3542	-72.29617	6.941972	0.0110288	0.150739	0.204162	0.0398485	0.142417	0.148021	0.718994	0.0934167	0.187589
330	-64.7155	-73.5783	8.862792	0.00484518	0.0343793	0.167894	0.150067	0.0596822	0.135719	0.465686	0.159111	0.375202
340	-62.81429	-71.43505	8.62076	0.0603883	0.0694514	0.214156	0.0179607	0.126651	0.0820769	0.446414	0.0525035	0.501082
350	-68.36388	-71.02336	2.659481	0.226364	0.159364	0.132992	0.200398	0.241213	0.0561115	0.319927	0.162106	0.517967
360	-68.0632	-71.58803	3.524828	0.320123	0.0506408	0.00749524	0.214963	0.315626	0.0428872	0.169714	0.664992	0.165294
